id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SYT3	12	0.25948	0.50152	0.946921	11318	4	-0.013477	0.4845	0.72127	1.0	15329	4	-0.013477
ETNK2	12	0.25952	0.50152	0.946921	11319	4	-0.17212	0.17402	0.35358	0.85726	8882	2	-0.17212
C3orf38	12	0.2596	0.50152	0.946921	11320	5	0.081088	0.18615	0.38144	0.885239	9283	5	0.081088
FOXA1	12	0.25969	0.50152	0.946921	11321	5	-0.16718	0.099276	0.23293	0.797702	6259	3	-0.16718
RABGAP1	12	0.2597	0.50152	0.946921	11322	5	-0.090111	0.12808	0.27897	0.813963	7323	5	-0.090111
SMIM6	12	0.25982	0.50209	0.946921	11323	3	0.1177	0.15927	0.32713	0.839738	8378	6	0.1177
DPPA4	12	0.25987	0.50209	0.946921	11324	5	-0.1805	0.26054	0.49159	0.947438	11136	4	-0.1805
CTSH	12	0.25993	0.50209	0.946921	11325	5	0.037646	0.5807	0.78936	1.0	16644	3	0.037646
WDR35	12	0.25995	0.50209	0.946921	11326	5	-0.19204	0.39336	0.64693	0.990105	13945	4	-0.19204
C13orf35	12	0.25996	0.50209	0.946921	11327	5	-0.1018	0.88618	0.95394	1.0	19661	1	-0.1018
TBX4	12	0.26002	0.50209	0.946921	11328	5	-0.24604	0.17195	0.34933	0.855129	8806	5	-0.24604
GDAP1	12	0.26004	0.50209	0.946921	11329	5	0.14381	0.12175	0.2712	0.813963	7106	5	0.14381
CCDC71	12	0.26012	0.50233	0.946921	11330	3	0.24218	0.060909	0.14644	0.706863	4401	6	0.24218
hsa-mir-4325	8	0.26019	0.45617	0.923529	11331	2	0.16527	0.18145	0.34741	0.853912	9122	3	0.16527
GJD2	12	0.26023	0.50233	0.946921	11332	2	0.16788	0.16482	0.33536	0.842981	8554	6	0.16788
RPP30	12	0.26024	0.50233	0.946921	11333	5	-0.10227	0.47276	0.71259	1.0	15156	3	-0.10227
RAB4A	12	0.26027	0.50233	0.946921	11334	1	0.14749	0.053832	0.13183	0.70531	4005	6	0.14749
SPRED1	12	0.26028	0.50233	0.946921	11335	4	-0.031739	0.15521	0.32304	0.839738	8248	5	-0.031739
NCAPD3	12	0.26042	0.50258	0.946921	11336	5	-0.20272	0.74519	0.89266	1.0	18360	2	-0.20272
C9orf123	8	0.26045	0.45662	0.924268	11337	2	0.1694	0.10751	0.2287	0.795567	6571	4	0.1694
ZNF850	12	0.26058	0.50258	0.946921	11338	2	0.27053	0.051588	0.12744	0.70531	3865	6	0.27053
SLC27A2	12	0.26065	0.50258	0.946921	11339	3	-0.052618	0.01578	0.041644	0.579564	1544	3	-0.052618
SLC16A8	12	0.26065	0.50258	0.946921	11340	3	0.2269	0.050929	0.12618	0.70531	3823	6	0.2269
TMEM180	12	0.26068	0.50258	0.946921	11341	3	0.030754	0.043162	0.10898	0.692332	3356	3	0.030754
SYP	12	0.26068	0.50258	0.946921	11342	5	-0.095111	0.85316	0.94536	1.0	19454	2	-0.095111
ZNF689	11	0.2607	0.49009	0.944992	11343	3	0.18797	0.066248	0.15277	0.710229	4717	5	0.18797
CAMK2A	12	0.2607	0.50258	0.946921	11344	5	-0.061886	0.19736	0.40556	0.90288	9606	5	-0.061886
NMT2	12	0.26074	0.50258	0.946921	11345	5	-0.094566	0.28258	0.52249	0.964167	11619	4	-0.094566
PHOX2B	12	0.26083	0.50258	0.946921	11346	4	-0.072639	0.042099	0.10719	0.692213	3291	5	-0.072639
DPH3P1	12	0.26089	0.50258	0.946921	11347	5	-0.088982	0.18796	0.38449	0.888274	9324	5	-0.088982
PHLDA3	12	0.26092	0.50258	0.946921	11348	2	0.48333	0.0001542	0.00043739	0.264067	32	8	0.48333
ATP5S	12	0.26092	0.50258	0.946921	11349	4	-0.1151	0.67836	0.86251	1.0	17766	3	-0.1151
VDR	12	0.26096	0.50258	0.946921	11350	4	-0.14491	0.23764	0.46441	0.935933	10630	4	-0.14491
C17orf72	12	0.26099	0.50258	0.946921	11351	4	-0.032828	0.39212	0.64618	0.990105	13919	3	-0.032828
C5orf60	12	0.26102	0.50258	0.946921	11352	4	0.16831	0.076107	0.18027	0.73324	5237	6	0.16831
ADAMTS12	12	0.26104	0.50258	0.946921	11353	5	-0.074628	0.12503	0.27499	0.813963	7214	4	-0.074628
FAM47B	12	0.26108	0.50258	0.946921	11354	4	0.16318	0.023293	0.062242	0.62605	2117	6	0.16318
DUSP28	12	0.2613	0.50258	0.946921	11355	5	-0.056363	0.32551	0.57118	0.971709	12548	4	-0.056363
C11orf1	12	0.26138	0.50258	0.946921	11356	2	0.18944	0.18314	0.37814	0.884713	9176	5	0.18944
LDOC1L	12	0.26145	0.50258	0.946921	11357	5	-0.16936	0.076495	0.18064	0.73324	5267	4	-0.16936
ZCWPW1	12	0.26147	0.50258	0.946921	11358	4	-0.031693	0.84796	0.94276	1.0	19404	2	-0.031693
CLRN1	12	0.26149	0.50258	0.946921	11359	4	-0.19274	0.33658	0.57855	0.971709	12777	3	-0.19274
CLEC5A	12	0.26161	0.50258	0.946921	11360	4	0.03358	0.26246	0.49377	0.948084	11183	5	0.03358
GALC	12	0.26163	0.50258	0.946921	11361	3	-0.022224	0.21917	0.44221	0.926036	10227	4	-0.022224
FAM13A	12	0.26163	0.50258	0.946921	11362	5	-0.0075353	0.63742	0.83798	1.0	17342	4	-0.0075353
TMEM255A	12	0.26171	0.50258	0.946921	11363	4	0.096486	0.24551	0.47309	0.938073	10794	3	0.096486
MAGEB16	12	0.26172	0.50258	0.946921	11364	2	0.22413	0.14884	0.31172	0.834775	8031	6	0.22413
ASB13	12	0.26176	0.50258	0.946921	11365	3	0.092543	0.1393	0.29236	0.816501	7701	6	0.092543
PRSS42	12	0.26177	0.50316	0.946921	11366	4	0.13089	0.16146	0.32978	0.841313	8446	6	0.13089
hsa-mir-8076	8	0.26178	0.4588	0.927136	11367	4	-0.31874	0.95611	0.95937	1.0	20231	1	-0.31874
RNASE9	12	0.26186	0.50316	0.946921	11368	3	0.065067	0.47993	0.71802	1.0	15269	3	0.065067
CELA3A	12	0.26191	0.50316	0.946921	11369	2	0.069617	0.59769	0.8088	1.0	16859	4	0.069617
STK3	12	0.26198	0.50316	0.946921	11370	3	-0.057879	0.45743	0.70389	1.0	14956	3	-0.057879
AP4M1	12	0.26214	0.50334	0.946921	11371	2	0.15131	0.048281	0.12014	0.700064	3661	6	0.15131
GRM3	12	0.26217	0.50334	0.946921	11372	5	-0.088136	0.46095	0.70541	1.0	14996	4	-0.088136
SPINK14	12	0.26225	0.50392	0.946921	11373	1	0.27	0.043421	0.10968	0.692479	3372	7	0.27
NFATC4	12	0.26228	0.50428	0.946921	11374	4	0.24544	0.025996	0.06784	0.626057	2324	7	0.24544
hsa-mir-126	8	0.26236	0.45907	0.927583	11375	4	-0.18569	0.51263	0.70512	1.0	15705	2	-0.18569
TUSC5	12	0.26242	0.50437	0.946921	11376	4	-0.048321	0.10935	0.25197	0.812082	6650	4	-0.048321
PCDHGA9	4	0.26248	0.37781	0.903485	11377	1	0.27474	0.071389	0.12698	0.70531	4979	3	0.27474
NR2C1	12	0.26256	0.50437	0.946921	11378	2	-0.00033055	0.26438	0.49873	0.952473	11230	5	-0.00033055
HMGA1	12	0.26267	0.50437	0.946921	11379	4	-0.064672	0.56712	0.77949	1.0	16466	3	-0.064672
FAM163A	12	0.2627	0.50437	0.946921	11380	4	0.18031	0.57767	0.78744	1.0	16604	4	0.18031
DYNLRB2	12	0.26272	0.50437	0.946921	11381	2	0.13129	0.57265	0.78396	1.0	16539	4	0.13129
MAP7	12	0.2628	0.50437	0.946921	11382	5	0.062462	0.20445	0.41317	0.90415	9803	5	0.062462
WDR73	12	0.26282	0.50437	0.946921	11383	5	0.15385	0.13896	0.29201	0.816501	7692	6	0.15385
DHX29	12	0.26284	0.50437	0.946921	11384	5	-0.093796	0.30549	0.5475	0.966257	12145	5	-0.093796
SLC43A3	12	0.26287	0.50437	0.946921	11385	4	-0.040464	0.30743	0.54909	0.966257	12183	4	-0.040464
FRMD1	12	0.26288	0.50437	0.946921	11386	4	0.081582	0.4228	0.67625	1.0	14509	5	0.081582
RILPL1	12	0.26288	0.50437	0.946921	11387	5	-0.017088	0.32494	0.56892	0.971709	12534	4	-0.017088
FMN2	12	0.26289	0.50437	0.946921	11388	5	-0.11552	0.8016	0.91775	1.0	18911	3	-0.11552
LZTR1	12	0.26292	0.50437	0.946921	11389	2	-0.015338	0.51629	0.74462	1.0	15750	3	-0.015338
BCL2L13	12	0.26295	0.50437	0.946921	11390	4	0.049609	0.020218	0.054686	0.623849	1874	6	0.049609
PCDHA1	12	0.26296	0.50495	0.946921	11391	4	0.007985	0.59677	0.80822	1.0	16844	4	0.007985
