Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
hsa-mir-378f	4	-0.57576	-0.62465	0.28695	0.94864	0.5322	0.84705
hsa-mir-6833	4	-2.3693	-1.9289	0.0022123	0.42969	0.053738	0.84383
HIF1AN	6	0.46171	0.8461	0.69682	0.99682	0.3975	0.84383
BFSP2	6	0.53362	1.1568	0.6058	0.99078	0.24736	0.84383
IFNL3	6	-0.53534	-1.126	0.20791	0.94021	0.26018	0.84383
AIF1L	6	0.22558	0.28945	0.98327	0.99944	0.77223	0.91458
RNF185	6	-0.80437	-2.2717	0.091994	0.89077	0.023102	0.84383
DNAJB12	6	-0.024471	-0.069174	0.65912	0.99665	0.94485	0.97782
SCML2	6	0.30951	0.64837	0.89773	0.99682	0.51674	0.84562
STX3	6	-0.07035	-0.18709	0.60824	0.99078	0.85159	0.94352
SEMA4D	6	0.47168	0.62871	0.68277	0.99682	0.52954	0.84669
OR5R1	6	-0.23618	-0.70298	0.43753	0.98292	0.48207	0.84383
POGLUT1	6	1.5063	0.83942	0.047334	0.81058	0.40123	0.84383
APOPT1	6	0.41708	1.0628	0.75591	0.99682	0.28789	0.84383
LOC147646	6	0.34486	0.96248	0.85085	0.99682	0.33581	0.84383
TUBA3D	6	0.19245	0.28857	0.93704	0.99751	0.77291	0.91479
hsa-mir-4678	4	-0.18712	-0.67616	0.58183	0.98944	0.49894	0.84383
ZNF841	6	0.54748	0.9817	0.58934	0.99026	0.32625	0.84383
TCEAL5	6	0.11042	0.21753	0.82233	0.99682	0.82779	0.93502
PROCA1	6	0.12169	0.29466	0.8373	0.99682	0.76826	0.91371
hsa-mir-3064	4	-0.4389	-1.1054	0.37558	0.9684	0.26897	0.84383
CACNA1G	6	0.31205	0.43385	0.89418	0.99682	0.6644	0.87989
ZSCAN16	6	0.23765	0.74628	0.99986	1	0.4555	0.84383
CAPN11	6	-0.074694	-0.17922	0.60262	0.99078	0.85776	0.94569
CACUL1	6	1.2362	1.0932	0.10817	0.90965	0.27432	0.84383
CMAS	6	-0.18051	-0.34271	0.4909	0.98755	0.73181	0.90267
NUCB2	6	0.56825	0.71768	0.56653	0.98944	0.47296	0.84383
hsa-mir-8075	2	0.0356	0.063693	0.88556	0.99682	0.94921	0.97925
EFCC1	6	-0.021181	-0.047758	0.66318	0.99682	0.96191	0.98441
ARFGAP3	6	-0.11842	-0.31152	0.55492	0.98936	0.75541	0.90927
MDGA2	6	0.20848	0.43078	0.95755	0.99885	0.66663	0.88059
BPIFB1	6	-0.094826	-0.19226	0.58192	0.98944	0.84754	0.94266
TPP1	6	1.1372	0.80848	0.14426	0.92689	0.41881	0.84383
CPO	6	1.017	0.94316	0.20109	0.94021	0.3456	0.84383
OPTN	6	-0.34095	-0.88387	0.34387	0.95642	0.37676	0.84383
hsa-mir-1243	4	-0.39599	-0.71943	0.40609	0.97609	0.47188	0.84383
COA1	6	-0.030957	-0.094294	0.65156	0.99507	0.92488	0.96999
CCDC111	6	0.32787	0.66623	0.87173	0.99682	0.50527	0.84467
GJA1	6	0.28324	0.56161	0.93497	0.99751	0.57438	0.85583
PDK2	6	0.51944	1.0717	0.62294	0.99168	0.28384	0.84383
NonTargetingControlGuideForHuman_0156	1	0.02975	0.1255	0.91049	0.99712	0.90013	0.96188
