id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SPTLC3	12	0.26385	0.55212	0.997892	11546	4	-0.020691	0.22889	0.51752	0.999761	10753	4	-0.020691
hsa-mir-4725	8	0.26386	0.50703	0.997892	11547	4	-0.21617	0.06097	0.18735	0.974277	4518	1	-0.21617
SPATA3	12	0.26391	0.55218	0.997892	11548	3	0.081749	0.21894	0.50296	0.998158	10496	4	0.081749
LANCL3	12	0.26404	0.55232	0.997892	11549	4	-0.057969	0.080976	0.26315	0.975897	5619	4	-0.057969
ANAPC10	12	0.2641	0.55239	0.997892	11550	4	0.17817	0.024298	0.10713	0.974277	2218	5	0.17817
RPTN	12	0.26418	0.55246	0.997892	11551	5	-0.14914	0.91773	0.96836	0.999761	20867	2	-0.14914
MACC1	12	0.26418	0.55246	0.997892	11552	4	0.31145	0.084526	0.27165	0.975897	5802	6	0.31145
MARCH3	12	0.26423	0.55251	0.997892	11553	3	0.1644	0.30498	0.60204	0.999761	12542	5	0.1644
GPHN	12	0.26431	0.5526	0.997892	11554	3	0.029088	0.33647	0.63323	0.999761	13215	4	0.029088
GNB1L	12	0.26435	0.55264	0.997892	11555	5	-0.012098	0.016823	0.079106	0.974277	1652	5	-0.012098
PRAMEF7	10	0.26436	0.5364	0.997892	11556	2	0.20959	0.070846	0.22518	0.974277	5067	6	0.20959
hsa-mir-4662a	8	0.26437	0.5077	0.997892	11557	3	-0.038806	0.31888	0.57606	0.999761	12819	1	-0.038806
hsa-mir-5690	8	0.26442	0.50777	0.997892	11558	4	-0.16617	0.97517	0.97507	0.999761	21381	0	-0.16617
OR2T2	12	0.26442	0.55272	0.997892	11559	2	-0.062659	0.43179	0.72349	0.999761	15157	5	-0.062659
SETD3	12	0.26442	0.55272	0.997892	11560	4	0.021016	0.84086	0.94341	0.999761	20213	2	0.021016
MORC3	12	0.26452	0.55283	0.997892	11561	5	-0.11172	0.00052805	0.0039612	0.843981	90	5	-0.11172
BANF2	12	0.26459	0.5529	0.997892	11562	5	-0.045813	0.59455	0.8288	0.999761	17512	4	-0.045813
TRIM38	12	0.2646	0.5529	0.997892	11563	4	-0.1823	0.2593	0.55544	0.999761	11538	4	-0.1823
GPR52	12	0.26462	0.55293	0.997892	11564	4	0.16921	0.081474	0.26435	0.975897	5649	5	0.16921
CDC34	12	0.26463	0.55294	0.997892	11565	5	-0.14753	0.45617	0.74536	0.999761	15609	3	-0.14753
CHRNA2	12	0.26468	0.553	0.997892	11566	5	-0.052328	0.21045	0.49026	0.995967	10254	4	-0.052328
OSBP2	12	0.26472	0.55303	0.997892	11567	5	-0.16273	0.044031	0.1684	0.974277	3527	4	-0.16273
NRAS	12	0.26478	0.55309	0.997892	11568	5	-0.082146	0.27879	0.57551	0.999761	11961	4	-0.082146
GRHL3	12	0.26482	0.55315	0.997892	11569	5	-0.064897	0.045893	0.17349	0.974277	3622	4	-0.064897
FAM155B	12	0.26491	0.55323	0.997892	11570	4	-0.057197	0.3864	0.68135	0.999761	14287	4	-0.057197
NOX4	12	0.26499	0.55331	0.997892	11571	4	0.13619	0.029792	0.12668	0.974277	2633	6	0.13619
GALE	12	0.26503	0.55335	0.997892	11572	3	0.21584	0.13348	0.36763	0.984063	7805	6	0.21584
EHF	12	0.26505	0.55338	0.997892	11573	2	0.34732	0.011589	0.058458	0.974277	1221	7	0.34732
KIAA0408	12	0.26516	0.55349	0.997892	11574	5	-0.042624	0.063908	0.22081	0.974277	4689	5	-0.042624
NUDT22	12	0.2652	0.55353	0.997892	11575	3	0.17887	0.022406	0.10021	0.974277	2078	4	0.17887
ABHD3	12	0.26522	0.55356	0.997892	11576	4	-0.11716	0.363	0.65897	0.999761	13794	5	-0.11716
BACH1	12	0.26522	0.55356	0.997892	11577	4	-0.070416	0.083195	0.26852	0.975897	5746	3	-0.070416
ANKHD1-EIF4EBP3	8	0.26523	0.50879	0.997892	11578	4	-0.10814	0.44857	0.67843	0.999761	15475	3	-0.10814
TMEM237	12	0.26526	0.55358	0.997892	11579	5	-0.14983	0.46497	0.75115	0.999761	15741	4	-0.14983
PODN	12	0.26526	0.55358	0.997892	11580	3	0.16828	0.45026	0.74008	0.999761	15509	5	0.16828
DECR2	12	0.26534	0.55367	0.997892	11581	5	-0.16193	0.36224	0.65826	0.999761	13780	4	-0.16193
PAFAH1B2	12	0.26535	0.55368	0.997892	11582	4	0.038357	0.08586	0.27482	0.975897	5872	4	0.038357
ARFGAP1	12	0.26547	0.55381	0.997892	11583	4	0.10908	0.21068	0.4906	0.995967	10263	5	0.10908
OCEL1	12	0.26559	0.55395	0.997892	11584	5	0.04868	0.24471	0.5401	0.999761	11210	5	0.04868
hsa-mir-6765	8	0.2656	0.50927	0.997892	11585	4	-0.21869	0.46604	0.69195	0.999761	15761	1	-0.21869
ANTXR1	12	0.26573	0.5541	0.997892	11586	4	0.080481	0.31512	0.61219	0.999761	12738	5	0.080481
GYLTL1B	12	0.2658	0.55417	0.997892	11587	5	-0.12842	0.68306	0.88103	0.999761	18633	4	-0.12842
AAK1	12	0.26581	0.55418	0.997892	11588	2	0.135	0.23666	0.5287	0.999761	10976	5	0.135
TDRD5	12	0.26592	0.55431	0.997892	11589	4	-0.003987	0.53993	0.796	0.999761	16755	3	-0.003987
PLA2G2A	12	0.26593	0.55431	0.997892	11590	5	-0.13729	0.54225	0.79745	0.999761	16791	4	-0.13729
PLA2G5	12	0.26608	0.55448	0.997892	11591	4	-0.059204	0.28418	0.58097	0.999761	12081	5	-0.059204
ART5	12	0.26609	0.55449	0.997892	11592	4	0.12223	0.0686	0.2327	0.974277	4948	5	0.12223
C16orf87	12	0.26615	0.55456	0.997892	11593	3	0.21939	0.34694	0.6435	0.999761	13434	5	0.21939
HAAO	12	0.26615	0.55457	0.997892	11594	5	-0.030086	0.21616	0.49882	0.997616	10414	4	-0.030086
GPR160	12	0.26619	0.5546	0.997892	11595	5	0.07619	0.28121	0.57799	0.999761	12017	5	0.07619
KDM6A	12	0.26628	0.5547	0.997892	11596	2	0.15072	0.41394	0.70701	0.999761	14814	5	0.15072
LCE3A	12	0.26629	0.55471	0.997892	11597	3	-0.15712	0.41132	0.70464	0.999761	14769	4	-0.15712
CS	12	0.26636	0.5548	0.997892	11598	1	0.23568	0.08408	0.2706	0.975897	5784	6	0.23568
CDKL5	12	0.26641	0.55485	0.997892	11599	5	-0.062462	0.57998	0.82004	0.999761	17308	4	-0.062462
ACP2	12	0.26643	0.55488	0.997892	11600	5	0.064381	0.01676	0.078872	0.974277	1646	5	0.064381
IL20RB	12	0.26645	0.55489	0.997892	11601	5	-0.048896	0.73589	0.9017	0.999761	19139	3	-0.048896
EVPLL	12	0.26653	0.55498	0.997892	11602	4	-0.0096825	0.0066948	0.037722	0.966402	801	5	-0.0096825
OIT3	12	0.26657	0.55502	0.997892	11603	5	-0.013408	0.15773	0.40797	0.992012	8610	6	-0.013408
RSPO1	12	0.26657	0.55502	0.997892	11604	5	-0.16556	0.78294	0.91971	0.999761	19597	3	-0.16556
ZNF606	12	0.26658	0.55503	0.997892	11605	3	0.059407	0.6943	0.88665	0.999761	18777	3	0.059407
NIPBL	12	0.2666	0.55505	0.997892	11606	4	-0.030928	0.14941	0.39441	0.989213	8341	5	-0.030928
USP51	12	0.2666	0.55505	0.997892	11607	2	-0.060434	0.73423	0.90109	0.999761	19119	3	-0.060434
ODF1	12	0.26661	0.55506	0.997892	11608	4	-0.033226	0.10691	0.32152	0.979657	6852	5	-0.033226
PBX3	12	0.2667	0.55516	0.997892	11609	5	-0.13241	0.37838	0.67373	0.999761	14123	2	-0.13241
LRP3	12	0.26675	0.55521	0.997892	11610	4	-0.015227	0.055516	0.19918	0.974277	4185	5	-0.015227
hsa-mir-4475	8	0.26682	0.51087	0.997892	11611	4	-0.12339	0.77314	0.87718	0.999761	19488	2	-0.12339
DLEU7	12	0.26698	0.55547	0.997892	11612	5	-0.12475	0.47776	0.75883	0.999761	15928	4	-0.12475
CRIP3	12	0.26699	0.55549	0.997892	11613	2	0.4838	0.007059	0.039512	0.966402	841	7	0.4838
COG2	12	0.26709	0.55559	0.997892	11614	5	-0.21547	0.63234	0.85131	0.999761	18017	3	-0.21547
TSPYL5	12	0.2671	0.5556	0.997892	11615	5	0.055289	0.23254	0.52283	0.999761	10855	5	0.055289
FAM174A	12	0.26719	0.55569	0.997892	11616	5	-0.11782	0.2866	0.58347	0.999761	12130	4	-0.11782
hsa-mir-4708	8	0.2672	0.51136	0.997892	11617	4	-0.08363	0.50149	0.71934	0.999761	16231	3	-0.08363
WDR35	12	0.26721	0.55571	0.997892	11618	5	-0.19527	0.37514	0.6706	0.999761	14062	4	-0.19527
SYNE1	12	0.26725	0.55575	0.997892	11619	4	0.18833	0.30081	0.59794	0.999761	12447	5	0.18833
LOC100996485	12	0.26728	0.55579	0.997892	11620	3	0.064668	0.23677	0.52886	0.999761	10979	5	0.064668
HGC6.3	12	0.26731	0.55581	0.997892	11621	4	0.28381	0.057541	0.20443	0.974277	4310	5	0.28381
FMNL2	12	0.26738	0.55589	0.997892	11622	2	0.086403	0.2561	0.55206	0.999761	11461	4	0.086403
SMPD1	12	0.26739	0.5559	0.997892	11623	4	0.0080392	0.33272	0.62961	0.999761	13134	4	0.0080392
hsa-mir-646	8	0.2674	0.51162	0.997892	11624	2	0.0024765	0.49352	0.71316	0.999761	16116	3	0.0024765
TAS2R13	12	0.26746	0.55599	0.997892	11625	5	-0.18581	0.33816	0.63488	0.999761	13250	2	-0.18581
CLTC	12	0.26753	0.55606	0.997892	11626	5	-0.15171	0.94455	0.97701	0.999761	21087	2	-0.15171
RNF138	12	0.26758	0.55612	0.997892	11627	3	0.23134	0.050941	0.18712	0.974277	3929	6	0.23134
TOX4	12	0.26764	0.55619	0.997892	11628	3	0.3922	0.0095275	0.050112	0.973007	1061	8	0.3922
HELLS	12	0.26764	0.55619	0.997892	11629	4	-0.069247	0.032577	0.13629	0.974277	2838	4	-0.069247
USF2	12	0.26768	0.55623	0.997892	11630	4	0.081249	0.35412	0.6504	0.999761	13606	4	0.081249
