id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MPZL1	6	0.024757	0.087198	0.96508	1839	5	-1.025	0.18185	0.38506	0.997138	7790	1	-1.025
ASPHD1	6	0.024844	0.087436	0.96508	1840	5	-0.96618	0.89602	0.91	0.999997	19584	1	-0.96618
RPUSD3	6	0.024909	0.087634	0.96508	1841	4	-1.8503	0.25465	0.46595	0.997138	9486	2	-1.8503
CHEK1	4	0.024923	0.073694	0.952555	1842	3	-2.1112	0.73549	0.76371	0.999997	17773	1	-2.1112
IRF2	4	0.024923	0.073694	0.952555	1843	3	-0.663	0.95924	0.95913	0.999997	20732	0	-0.663
KLHL22	2	0.024949	0.045907	0.922765	1844	1	-3.2218	0.77796	0.77764	0.999997	18247	0	-3.2218
NXPH4	6	0.024974	0.087818	0.96508	1845	3	-1.0547	0.20439	0.41048	0.997138	8314	2	-1.0547
KDM6A	6	0.024974	0.087818	0.96508	1846	3	-1.3002	0.60203	0.75381	0.999509	15859	1	-1.3002
SSX3	5	0.024984	0.078339	0.953705	1847	3	-2.5818	0.35636	0.54982	0.997138	11743	2	-2.5818
TIMP1	5	0.024984	0.078341	0.953705	1848	2	0.65985	0.59348	0.73221	0.999509	15722	2	0.65985
LCN1	6	0.025032	0.087989	0.96508	1849	3	-0.71858	0.90399	0.91455	0.999997	19702	1	-0.71858
TRAF3IP3	6	0.025032	0.087989	0.96508	1850	3	-0.62562	0.25031	0.46099	0.997138	9379	2	-0.62562
PDXDC1	6	0.025032	0.087989	0.96508	1851	3	-0.06233	0.21046	0.41717	0.997138	8444	3	-0.06233
FKBP1A	6	0.025032	0.087989	0.96508	1852	2	0.30087	0.13107	0.30703	0.996128	6229	3	0.30087
TSNARE1	6	0.025032	0.087989	0.96508	1853	3	-0.31694	0.37373	0.59281	0.997138	12084	2	-0.31694
PLAU	5	0.025055	0.078528	0.953705	1854	3	-2.0972	0.23744	0.42946	0.997138	9054	1	-2.0972
FRY	6	0.025062	0.088091	0.96508	1855	4	-1.7672	0.70303	0.8213	0.999997	17307	2	-1.7672
ATP2B4	6	0.025117	0.088237	0.96508	1856	4	-1.8103	0.98766	0.98772	0.999997	21360	0	-1.8103
C16orf55	4	0.025145	0.074146	0.952555	1857	2	-1.948	0.88115	0.88093	0.999997	19367	0	-1.948
TYRO3	6	0.025172	0.088408	0.96508	1858	4	-1.6313	0.66999	0.79848	0.999997	16844	2	-1.6313
ACTL6A	5	0.025174	0.078833	0.953705	1859	4	-0.93486	0.91077	0.91087	0.999997	19806	1	-0.93486
GNAZ	5	0.025176	0.07884	0.953705	1860	4	-1.1977	0.98535	0.98541	0.999997	21320	0	-1.1977
C17orf105	6	0.025181	0.088438	0.96508	1861	4	-1.9762	0.69692	0.81698	0.999997	17232	2	-1.9762
NOVA1	6	0.025186	0.088458	0.96508	1862	5	-1.0553	0.92088	0.9256	0.999997	19985	1	-1.0553
RCN3	5	0.025187	0.07887	0.953705	1863	4	-2.2159	0.65577	0.77766	0.999997	16647	1	-2.2159
GALNT7	6	0.025202	0.088508	0.96508	1864	4	-1.8606	0.68705	0.81015	0.999997	17083	1	-1.8606
C6orf58	6	0.025246	0.088636	0.96508	1865	3	-0.45577	0.20271	0.40858	0.997138	8280	3	-0.45577
IFITM5	6	0.025259	0.088675	0.96508	1866	2	1.6012	0.050448	0.15163	0.993881	3049	4	1.6012
ZNF124	6	0.025259	0.088675	0.96508	1867	2	0.13603	0.89192	0.90769	0.999997	19518	1	0.13603
NME3	6	0.025259	0.088675	0.96508	1868	3	-0.73659	0.32521	0.5421	0.997138	11095	2	-0.73659
GRB7	6	0.025297	0.088789	0.96508	1869	5	-1.8195	0.60642	0.7566	0.999509	15928	1	-1.8195
TCF20	6	0.025318	0.088858	0.96508	1870	4	-1.8102	0.98968	0.98974	0.999997	21406	0	-1.8102
PNN	6	0.025352	0.088956	0.96508	1871	5	-1.772	0.16175	0.36085	0.997138	7291	1	-1.772
RPL35A	3	0.025353	0.064349	0.93741	1872	3	-1.8982	0.97465	0.97473	0.999997	21096	0	-1.8982
GGNBP2	6	0.025356	0.088974	0.96508	1873	5	-1.6944	0.77203	0.8609	0.999997	18187	1	-1.6944
FAM134C	6	0.02537	0.089016	0.96508	1874	4	-1.7746	0.89476	0.90927	0.999997	19556	1	-1.7746
DOC2B	6	0.025371	0.089021	0.96508	1875	3	-1.0634	0.30831	0.52401	0.997138	10720	3	-1.0634
SCARF2	5	0.025384	0.079399	0.953705	1876	4	-1.311	0.076498	0.20165	0.993881	4164	1	-1.311
CYTH3	6	0.025388	0.089074	0.96508	1877	3	-0.69715	0.67162	0.79961	0.999997	16865	2	-0.69715
DRAM1	6	0.025445	0.089252	0.96508	1878	3	-1.2681	0.98629	0.98639	0.999997	21335	0	-1.2681
ITGAE	6	0.025492	0.089382	0.96508	1879	3	0.16751	0.33484	0.55226	0.997138	11284	3	0.16751
